ID_Categoria,Descripcion
A01005,ADMINISTRATIVO ESPECIALIZADO
A01061,MAESTRO DE JARDIN DE NIÑOS ESTATAL SUBSIDIADO
A01803,ADMINISTRATIVO ESPECIALIZADO
A01805,AUXILIAR DE ADMINISTRADOR
A01806,ANALISTA ADMINISTRATIVO
A01807,JEFE DE OFICINA
A01820,AYUDANTE ADMINISTRATIVO
A01E05,AUX. ADMINISTRADOR
A02021,DIRECTOR DE PRIMARIA ESTATAL SUBSIDIADO
A02061,MAESTRO DE GRUPO DE PRIMARIA ESTATAL SUBSIDIADO
A02802,AGENTE DE INFORMACION
A02804,PROMOTOR
A03023,DIRECTOR DE TELESECUNDARIA ESTATAL SUBSIDIADO
A03114,HORAS DE MAESTRO DE TELESECUNDARIA ESTATAL SUBSIDIADO
A03803,SECRETARIA DE APOYO
A03804,SECRETARIA !C!
A08006,SECRETARIA EJECUTIVA
A08025,SECRETARIA
A0IE05,AUXILIAR ADMINISTRATIVO AYUDANTE ADMINISTRATIVO
B03083,ADMINISTRATIVO ESPECIALIZADO ESTATAL SUBSIDIADO
B03084,ADMINISTRATIVO ESPECIALIZADO ESTATAL SUBSIDIADO
C01806,EDITOR
C01808,ASISTENTE EN TECNICAS DE LA COMUNICACION
C02802,OPERADOR DE EQUIPO DE COMUNICACIONES
C03091,OFICIAL DE SERVICIOS Y MANTENIMIENTO ESTATAL SUBSIDIADO
CF01005,DIRECTOR DE AREA
CF01012,SUBDIRECTOR DE AREA
CF01059,JEFE DE DEPARTAMENTO
CF03803,CHOFER DE DIRECTOR DE AREA
CF03809,CHOFER DE SPS
CF04805,SECRETARIA EJECUTIVA !D!
CF04806,SECRETARIA EJECUTIVA !C!
CF04807,SECRETARIA EJECUTIVA !B!
CF04808,SECRETARIA EJECUTIVA !A!
CF05003,BIBLIOTECARIO
CF06801,GUARDA
CF07805,MANEJADOR DE FONDOS Y VALORES
CF07810,AUXILIAR DE MANEJADOR DE VALORES
CF07817,RESPONSABLE DE FONDOS Y VALORES
CF08025,SECRETARIA
CF08822,SUPERVISOR
CF10804,CAPITAN DE BARCO
CF11806,INSPECTOR
CF12803,COORDINADOR DE TECNICOS EN COMPUTACIÓN
CF12804,ANALISTA PROGRAMADOR !B!
CF12812,PROGRAMADOR ESPECIALIZADO
CF12814,ESPECIALISTA EN TELEINFORMATICA
CF12825,ANALISTA DE SISTEMAS MACROCOMPUTACIONALES
CF14012,GUARDIAN
CF17805,COLUMNISTA
CF21802,ABOGADO
CF21803,AUDITOR
CF21807,ANALISTA PROFESIONAL
CF21817,AUDITOR ESPECIALIZADO
CF21856,PROFESIONAL DICTAMINADOR EN EL MANEJO DE FONDOS Y VALORES
CF21858,PROFESIONAL DICTAMINADOR ESPECIALIZADO EN EL MANEJO DE FONDO
CF21859,COORDINADOR DE PROFESIONALES DICTAMINADORES
CF21887,ASISTENTE EN ESTUDIOS PROFESIONALES
CF22811,INVESTIGADOR ESPECIALIZADO
CF33821,ESPECIALISTA TECNICO
CF33828,PRODUCTOR RADIOFONICO BILINGUE
CF33834,TECNICO ESPECIALIZADO
CF33865,JEFE DE UNIDAD RADIOFONICA BILINGUE
CF33890,COORDINADOR DE PROYECTOS Y SERVICIOS CULTURALES
CF33891,OFICIAL TECNICO
CF33892,TECNICO SUPERIOR
CF34018,COORDINADOR DEPARTAMENTAL
CF34117,JEFE DE UNIDAD SEAD
CF34806,SUPERVISOR ADMINISTRATIVO
CF34807,AUXILIAR DE ADMINISTRADOR
CF34810,ANALISTA ADMINISTRATIVO
CF34813,JEFE DE OFICINA
CF34844,ASISTENTE DE ALMACEN
CF52118,DIRECTOR GENERAL
CF52317,DIRECTOR DE AREA
CF53083,SECRETARIO PARTICULAR DE SPS-33
E0100,"INSPECTORA DE JARDINES DE NINOS, EN EL D.F."
E0101,"INSPECTORA DE JARDINES DE NINOS, FOR.EA."
E0102,INSPECTOR DE ENSEÑANZAS MUSICALES PARA JARDIN DE INOS EN EL
E0103,INSPECTORA DE JARDIN DE NIÑOS TITULADA EN LA LICENCIATURA DE
E0104,"INSPECTOR GENERAL DE SECTOR DE JARDIN DE NIÑOS,EN EL D.F."
E0105,"INSPECTOR GENERAL DE SECTOR DE JARDIN DE NIÑOS,FORANEO."
E0107,INSPECTORA GENERAL DE SECTOR DE JARDIN DE NIÑOS TITULADA EN
E0113,INSPECTORA PARA CENTROS DE DESARROLLO INFANTIL.
E0119,DIRECTORA DE JARDIN DE NIÑOS DE TIEMPO COMPLETO TITULADA EN
E0120,DIRECTORA DE JARDIN DE NIÑOS EN EL DISTRITO FEDERAL.
E0121,"DIRECTORA DE JARDIN DE NIÑOS, FOR.EA."
E0125,DIRECTORA PARA CENTROS DE DESARROLLO INFANTIL.
E0164,PROFESOR DE ENSEÑANZAS MUSICALES ELEMENTALES PARA JARDIN DE
E0165,PROFESOR DE ENSEÑANZAS MUSICALES ELEMENTALES PARA JARDIN DE
E0180,MAESTRA DE JARDIN DE NIÑOS EN EL DISTRITO FEDERAL.
E0181,"MAESTRA DE JARDIN DE NIÑOS, FOR.EA."
E0182,"HORAS DE ACOMPANANTE DE MUSICA PARA JARDIN DE NIÑOS, EN EL D"
E0183,"HORAS DE ACOMPANANTE DE MUSICA PARA JARDIN DE NIÑOS, FORANEO"
E0185,MAESTRA DE JARDIN DE NIÑOS DE TIEMPO COMPLETO MIXTO TITULADA
E0190,EDUCADORA PARA CENTRO DE DESARROLLO INFANTIL DE TIEMPO COMPL
E0191,"PROMOTOR DE COMUNIDAD RURAL,TECNICO EN EDUCACION PREESCOLAR,"
E0195,EDUCADORA PARA CENTROS DE DESARROLLO INFANTIL.
E0199,MTRA DE JARDIN DE NIÑOS DE 3/4 DE TIEMPO EN CURSO CON FORTAL
E0200,"INSPECTOR DE ZONA DE ENSEÑANZA PRIMARIA, EN EL D.F."
E0201,"INSPECTOR DE ZONA DE ENSEÑANZA PRIMARIA, FORANEO."
E0202,"INSPECTOR DE PRIMARIA NOCTURNA, EN EL DISTRITO FEDERAL."
E0203,INSPECTOR DE ZONA DE ENSEÑANZA PRIMARIA TITULADO EN LA LICE
E0204,"INSPECTOR GENERAL DE SECTOR PRIMARIA, EN EL D.F."
E0205,"JEFE DE SECTOR DE EDUCACION PRIMARIA, FOR.EO."
E0206,"INSPECTOR GENERAL DE SECTOR DE ENSEÑANZA PRIMARIA NOCTURNA,"
E0207,INSPECTOR GENERAL DE SECTOR DE PRIMARIA TITULADO EN LA LICEN
E0208,"INSPECTOR DE ESCUELA DE ENSEÑANZAS ESPECIALES ASISTENCIALES,"
E0209,JEFE DE SECTOR DE EDUCACION PRIMARIA TITULADO EN LA LICENCIA
E0210,"INSPECTOR DE ZONA DE ENSEÑANZA PRIMARIA, EN EL DISTRITO FEDE"
E0213,"INSPECTOR DE INTERNADOS DE ENSEÑANZA PRIMARIA, FORANEO."
E0214,"INSPECTOR DE ENSEÑANZAS ASISTENCIAL, EN EL DISTRITO FEDERAL."
E0216,"CONSEJERO DE EDUCACION PRIMARIA, EN EL DISTRITO FEDERAL."
E0218,CONSEJERO DE EDUCACION RURAL.
E0219,DIRECTOR DE PRIMARIA DE TIEMPO COMPLETO TITULADO EN LA LICEN
E0220,DIRECTOR DE PRIMARIA EN EL DISTRITO FEDERAL.
E0221,"DIRECTOR DE PRIMARIA, FOR.EO."
E0222,"DIRECTOR DE INTERNADO DE PRIMARIA, EN EL DISTRITO FEDERAL."
E0223,"DIRECTOR DE INTERNADO DE PRIMARIA, FOR.EO."
E0224,"DIRECTOR DE PRIMARIA, ASISTENCIAL, EN EL DISTRITO FEDERAL."
E0226,"DIRECTOR DE PRIMARIA NOCTURNA, EN EL DISTRITO FEDERAL."
E0240,"SUBDIRECTOR SECRETARIO DE INTERNADO DE PRIMARIA, EN EL DISTR"
E0241,"SUBDIRECTOR SECRETARIO DE INTERNADO DE PRIMARIA, FORANEO."
E0250,"JEFE DE ENSEÑANZAS, ASISTENCIAL, EN EL DISTRITO FEDERAL."
E0258,"JEFE DE ENSEÑANZA ASISTENCIAL, EN EL DISTRITO FEDERAL."
E0260,"MAESTRO DE ADIESTRAMIENTO DE PRIMARIA, EN EL DISTRITO FEDERA"
E0261,MAESTRO DE ADIESTRAMIENTO DE PRIMARIAS FOR.EO
E0264,"MAESTRO DE ENSEÑANZAS ARTISTICAS DE INTERNADO DE PRIMARIA, E"
E0265,"MAESTRO DE ENSEÑANZAS ARTISTICAS DE INTERNADO DE PRIMARIA, F"
E0280,"MAESTRO DE GRUPO DE PRIMARIA, EN EL DISTRITO FEDERAL."
E0281,"MAESTRO DE GRUPO DE PRIMARIA, FOR.EO."
E0284,"MAESTRO DE GRUPO DE PRIMARIA, EN EL DISTRITO FEDERAL, ASISTENTE"
E0285,MAESTRO DE GRUPO DE PRIMARIA DE TIEMPO COMPLETO MIXTO TITULAR
E0286,"MAESTRO DE GRUPO DE PRIMARIA NOCTURNA, EN EL DISTRITO FEDERAL"
E0288,MAESTRO DE ADIESTRAMIENTO E INICIACION VOCACIONAL DE PRIMARIA
E0289,MAESTRO 'A' DE PRIMARIA RURAL.
E0291,MAESTRO 'B' DE PRIMARIA RURAL.
E0292,MAESTRO DE GRUPO DE PRIMARIA ASISTENCIAL DE 3/4 DE TIEMPO EN
E0296,"MAESTRO DE GRUPO DE PRIMARIA, ASISTENCIAL, EN EL DISTRITO FE"
E0298,MAESTRO DE GRUPO DE PRIMARIA NOCTURNA CON FORTALECIMIENTO C
E0299,MAESTRO DE GRUPO DE PRIMARIA DE 3/4 DE TIEMPO EN CURSO CON F
E0300,"INSPECTOR GENERAL DE SEGUNDA ENSEÑANZA, EN EL D.F."
E0301,"INSPECTOR GENERAL DE SEGUNDA ENSEÑANZA, FOR.EO."
E0308,"INSPECTOR GENERAL DE ESCUELA SECUNDARIA, PARA TRABAJADORES E"
E0320,DIRECTOR DE SECUNDARIA DIURNA EN EL D.F.
E0321,DIRECTOR DE SECUNDARIA FORANEA.
E0325,"DIRECTOR DE INTERNADO DE SECUNDARIA, FORNEA."
E0326,"DIRECTOR DE SECUNDARIA PARA TRABAJADORES, EN EL D.F."
E0327,"DIRECTOR DE SECUNDARIA, PARA TRABAJADORES, FORANEO."
E0340,SUBDIRECTOR SECRETARIO DE SECUNDARIA DIURNA EN EL D.F.
E0341,SUBDIRECTOR SECRETARIO DE SECUNDARIA FOR.EA.
E0344,"SUBDIRECTOR SECRETARIO DE SECUNDARIA NOCTURNA, EN EL DISTRIT"
E0345,"SUBDIRECTOR SECRETARIO DE SECUNDARIA NOCTURNA, FORANEA."
E0350,JEFE DE ENSEÑANZA SECUNDARIA DIURNA.
E0351,"JEFE DE ENSEÑANZA SECUNDARIA, FORANEO."
E0358,"JEFE DE ENSEÑANZA DE SECUNDARIA, PARA TRABAJADORES."
E0360,PROFESOR DE ENSEÑANZAS DE ADIESTRAMIENTO DE SECUNDARIA
E0361,"PROFESOR DE ENSEÑANZAS DE ADIESTRAMIENTO DE SECUNDARIA, FORANEO"
E0362,PROFESOR DE ENSEÑANZA SECUNDARIA EN EL DISTRITO FEDERAL.
E0363,"PROFESOR DE ENSEÑANZA SECUNDARIA, FORANEA."
E0364,"PROFESOR DE ADIESTRAMIENTO, DE SECUNDARIA, EN EL DISTRITO FE"
E0365,"PROFESOR DE ADIESTRAMIENTO, DE SECUNDARIA, FORANEO."
E0366,HORAS DE ENSEÑANZA DE ADIESTRAMIENTO DE SECUNDARIAS GENERALES
E0370,"PROFESOR ORIENTADOR DE ENSEÑANZA SECUNDARIA, EN EL DISTRITO"
E0371,"PROFESOR ORIENTADOR DE ENSEÑANZA SECUNDARIA, FORANEA."
E0390,HORAS DE ENSEÑANZA DE ADIESTRAMIENTO DE SECUNDARIAS GENERALE
E0392,HORAS DE ENSEÑANZA SECUNDARIA PARA FORTALECIMIENTO CURRICULA
E0401,INSPECTOR GENERAL DE SECUNDARIAS TECNICAS.
E0409,"INSPECTOR GENERAL DE ESCUELA SECUNDARIA TECNICA,PARA TRABAJA"
